,DEN1_Nauru_1974_NIHvaccine,DEN1_VietNam_2008_BID_V1937,DEN1_PuertoRico_2006_BID_V852,DEN2_Tonga_1974_NIHvaccine,DENV2_Vietnam_2003_AC21,DEN2_Vietnam_2003_DF_670,DEN2_Nicaragua_2005_BID_V533,DEN2_Nicaragua_2006_BID_V571,DEN2_Peru_1996_IQT2913,DEN2_Vietnam_2006_BID_V735,DEN2_Malaysia_2008_DKD811,DEN3_Fiji_1992__,DEN3_Vietnam_2006_BID_V1329,DEN3_Vietnam_2007_BID_V1817,DEN4_PuertoRico_1999_BID_V2446,DEN4_Indonesia_1973_M30153_p5,DEN1_Peru_2000_IQT_6152,DEN1_Cambodia_2003_GenBankGQ868619,DEN1_Bolivia_2010_FSB_3363,DEN1_Venezuela_2000_OBT_1298,DEN1_Burma_2005_61117,DENV2_Vietnam_2003_AC21_2,DEN2_Cambodia_2009_D2T0601085_KH09_KSP,DEN2_Senegal_2003_Sendak_HD_0674,DEN2_Vietnam_2006_32_135_2,DEN3_Nicaragua_2009_608,DEN3_PuertoRico_1963_PRS_228762,DEN3_Cambodia_2011_V0907330,DEN3_PuertoRico_2006_429965,DEN3_Burma_2008_80931,DEN4_Cambodia_2010_U0811386,DEN4_Malaysia_1973_P73_1120_sylvatic,DEN4_Cambodia_2011_V0624301,DEN4_Burma_2008_81087,DEN4_Nicaragua_1999_703,DEN4_Brazil_2012_BR_12
DENV2/Brazil/2004-BR-161,<10,<10,<10,13,11,25,<10,53,14,618,20,<10,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DENV2/Cambodia/2009/D2T0601085_KH09_KSP,<10,<10,<10,<10,<10,16,11,31,<10,197,<10,<10,<10,<10,<10,<10,17,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV2/Cambodia/2008-BID-V3924,<10,<10,<10,<10,<10,12,<10,15,<10,205,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV2/Cambodia/2007/BID-V4265,<10,<10,<10,<10,<10,10,<10,24,<10,301,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV2/Guyana/2000-CAREC-00-08221,<10,<10,<10,<10,<10,29,<10,74,<10,265,<10,<10,<10,<10,<10,<10,10,<10,<10,<10,<10,<10,28,<10,14,<10,<10,13,<10,<10,11,<10,<10,<10,<10,11
DENV2/India/1974-Poona-742295,<10,<10,<10,<10,10,18,10,65,17,509,<10,<10,<10,<10,<10,<10,13,12,<10,<10,<10,<10,20,<10,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV2/Malaysia/2008-DKD-811,<10,<10,<10,13,<10,23,<10,37,16,256,31,<10,<10,11,<10,<10,<10,<10,<10,<10,<10,<10,11,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV2/New-Guinea/1944-New-Guinea-C,<10,*,<10,18,<10,71,18,<10,20,<10,*,<10,<10,*,<10,*,11,<10,<10,<10,<10,<10,12,<10,16,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV2/Nicaragua/2005-BID-V533,11,<10,15,18,18,19,11,85,14,465,22,<10,11,<10,<10,<10,10,<10,<10,<10,<10,<10,<10,<10,22,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV2/Nicaragua/2006-BID-V571,<10,<10,11,16,16,30,14,59,17,431,19,<10,11,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,14,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV2/Peru/1996-IQT-2913,14,<10,17,43,26,50,22,81,21,419,32,<10,10,11,<10,<10,34,<10,<10,<10,<10,<10,<10,<10,*,*,*,*,<10,<10,10,<10,<10,<10,<10,<10
DENV2/Senegal/1970/Sendak_H D_0674,<10,<10,10,25,11,35,17,62,13,125,39,<10,<10,18,<10,<10,101,18,13,10,30,10,36,16,19,12,<10,22,23,15,11,11,12,<10,<10,11
DENV2/Tonga/1974-Tonga-74,<10,12,<10,42,14,62,14,66,14,446,29,<10,11,10,<10,<10,24,<10,<10,<10,<10,<10,32,<10,21,<10,<10,14,11,15,15,<10,<10,<10,<10,<10
DENV2/Vietnam/2006-32-135,<10,*,<10,15,<10,31,<10,*,23,1178,35,<10,<10,*,<10,*,<10,<10,<10,<10,<10,<10,19,<10,12,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV2/Vietnam/2003-AC21,15,13,75,92,735,149,62,422,38,10455,126,14,10,17,13,<10,76,12,10,16,14,11,67,15,88,15,<10,21,14,13,15,12,15,<10,13,11
DENV2/Vietnam/2003/DF670-AC20,15,14,18,26,24,33,23,120,16,782,44,<10,13,11,<10,10,16,<10,<10,<10,<10,<10,13,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
DENV3/Myanmar/2008/80931,<10,<10,<10,*,<10,*,<10,<10,<10,<10,<10,28,33,37,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,13,<10,100,51,22,<10,<10,<10,<10,<10,<10
DENV3/Cambodia/2011/V0907330-AC23,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,11,38,15,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,12,<10,127,38,14,<10,<10,<10,<10,<10,<10
DENV3/Fiji/1992-29472,10,<10,17,<10,10,<10,<10,<10,<10,<10,<10,59,70,126,<10,<10,13,<10,<10,<10,10,<10,<10,<10,<10,16,<10,83,58,37,<10,<10,<10,<10,<10,<10
DENV3/Nicaragua/2009-BID-V4753,<10,<10,<10,<10,<10,<10,<10,<10,10,10,<10,16,28,26,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,21,<10,73,106,17,<10,<10,<10,<10,<10,<10
DENV3/Puerto-Rico/2006-429965,15,*,<10,<10,<10,<10,<10,*,<10,13,<10,26,71,*,<10,*,11,<10,<10,<10,<10,<10,<10,<10,<10,24,10,92,128,24,<10,<10,<10,<10,<10,<10
DENV3/Puerto-Rico/1963/PRS-228762-AC27,12,10,<10,<10,10,<10,16,<10,12,17,21,18,74,66,39,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DENV3/Indonesia/1978/Sleman-1280-AC25,<10,<10,<10,<10,<10,<10,<10,<10,<10,11,<10,17,41,48,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,56,19,13,<10,<10,<10,<10,<10,<10
DENV3/Vietnam/2006-BID-V1329,16,10,29,12,23,14,<10,14,<10,15,13,39,174,102,<10,<10,12,<10,<10,<10,10,<10,11,10,<10,15,12,77,48,41,<10,<10,<10,<10,<10,<10
DENV3/Vietnam/2007-BID-V1817,11,<10,17,<10,<10,<10,<10,14,<10,19,13,43,93,120,11,<10,<10,<10,<10,<10,16,<10,<10,<10,14,25,<10,65,130,45,12,11,<10,<10,<10,11
DENV4/Brazil/2012/BR-12,<10,<10,<10,10,<10,<10,<10,<10,10,11,<10,<10,<10,<10,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,33,13
DENV4/Cambodia/2011/V0624301-AC33,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,34,<10,15,<10,15,<10
DENV4/Cambodia/2010-U0811386,<10,<10,10,<10,11,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,34,<10,14,<10,20,<10
DENV4/Dominica/1981-42A,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,14,15,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,26,<10,44,16
DENV4/Indonesia/1973/M30153-AC36,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,24,22,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,16,<10,23,11,67,11
DENV4/Nicaragua/1999-703,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,15,13,*,<10,<10,<10,*,<10,<10,<10,<10,<10,<10,<10,*,*,<10,<10,12,<10,27,14
DENV4/Puerto-Rico/1998-347751,<10,<10,10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,27,22,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,13,<10,42,20
DENV4/Puerto-Rico/1999-BID-V2446,<10,*,<10,<10,<10,<10,<10,*,<10,<10,<10,<10,<10,*,10,*,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,14
DENV4/Indonesia/1978-S1228,<10,<10,13,<10,15,12,10,<10,<10,11,<10,12,13,15,35,25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DENV4/Malaysia/1973/P73-1120,<10,<10,11,<10,<10,<10,<10,<10,<10,*,*,12,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,16,<10,11,<10,18,<10
DENV4/Thailand/1985-D85-052,<10,<10,14,<10,14,12,<10,<10,<10,11,<10,<10,13,12,37,26,<10,11,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,28,<10,19,<10,<10,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
