,DENV1_I,DENV1_II,DENV1_III,DENV1_IV,DENV1_V,DENV2_AMERICAN,DENV2_ASIANAMERICAN,DENV2_ASIANI,DENV2_ASIANII,DENV2_COSMOPOLITAN,DENV2_SYLVATIC,DENV3_I,DENV3_II,DENV3_III,DENV3_V,DENV4_I,DENV4_II,DENV4_SYLVATIC
1972.0833,0.0,0.0,0.0,0.0,0.0,0.0006,0.0513,0.0301,0.0129,0.0031,0.0613,0.0,0.0,0.0,0.0,0.0038,0.0244,0.0221
1972.1667,0.0,0.0,0.0,0.0,0.0,0.0006,0.052,0.0305,0.0131,0.0031,0.0541,0.0,0.0,0.0,0.0,0.004,0.0273,0.0248
1972.25,0.0,0.0,0.0,0.0,0.0,0.0006,0.0525,0.0308,0.0132,0.0031,0.0475,0.0,0.0,0.0,0.0,0.0042,0.0304,0.0278
1972.3333,0.0,0.0,0.0,0.0,0.0,0.0006,0.0528,0.031,0.0133,0.0031,0.0413,0.0,0.0,0.0,0.0,0.0044,0.0335,0.0309
1972.4167,0.0,0.0,0.0,0.0,0.0,0.0006,0.0528,0.031,0.0133,0.0031,0.0355,0.0,0.0,0.0,0.0,0.0045,0.0361,0.0336
1972.5,0.0,0.0,0.0,0.0,0.0,0.0006,0.0528,0.0309,0.0133,0.0031,0.0299,0.0,0.0,0.0,0.0,0.0046,0.0395,0.0371
1972.5833,0.0,0.0,0.0,0.0,0.0,0.0006,0.0523,0.0307,0.0132,0.0031,0.0251,0.0,0.0,0.0,0.0,0.0046,0.0419,0.0397
1972.6667,0.0,0.0,0.0,0.0,0.0,0.0006,0.0516,0.0303,0.013,0.0031,0.0207,0.0,0.0,0.0,0.0,0.0047,0.0452,0.0431
1972.75,0.0,0.0,0.0,0.0,0.0,0.0006,0.0506,0.0297,0.0127,0.003,0.0168,0.0,0.0,0.0,0.0,0.0048,0.0492,0.0474
1972.8333,0.0,0.0,0.0,0.0,0.0,0.0006,0.0496,0.0291,0.0125,0.003,0.0132,0.0,0.0,0.0,0.0,0.0049,0.0526,0.0512
1972.9167,0.0,0.0,0.0,0.0,0.0,0.0006,0.0483,0.0283,0.0121,0.0029,0.0101,0.0,0.0,0.0,0.0,0.005,0.0576,0.0566
1973.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0469,0.0275,0.0118,0.0028,0.0072,0.0,0.0,0.0,0.0,0.0051,0.0627,0.0622
1973.0833,0.0,0.0,0.0,0.0,0.0,0.0006,0.0531,0.0312,0.0134,0.0032,0.0057,0.0,0.0,0.0,0.0,0.0058,0.0755,0.0757
1973.1667,0.0,0.0,0.0,0.0,0.0,0.0006,0.0599,0.0352,0.0151,0.0036,0.0035,0.0,0.0,0.0,0.0,0.0064,0.0901,0.0911
1973.25,0.0,0.0,0.0,0.0,0.0,0.0006,0.0664,0.0389,0.0167,0.004,0.0025,0.0,0.0,0.0,0.0,0.0068,0.1043,0.1066
1973.3333,0.0,0.0,0.0,0.0,0.0,0.0006,0.0727,0.0427,0.0183,0.0043,0.0022,0.0,0.0,0.0,0.0,0.0071,0.119,0.1227
1973.4167,0.0,0.0,0.0,0.0,0.0,0.0006,0.0792,0.0465,0.0199,0.0047,0.0021,0.0,0.0,0.0,0.0,0.0074,0.1344,0.1399
1973.5,0.0,0.0,0.0,0.0,0.0,0.0006,0.086,0.0504,0.0216,0.0051,0.002,0.0,0.0,0.0,0.0,0.0075,0.1497,0.1573
1973.5833,0.0,0.0,0.0,0.0,0.0,0.0006,0.093,0.0546,0.0234,0.0055,0.002,0.0,0.0,0.0,0.0,0.0075,0.1635,0.1736
1973.6667,0.0,0.0,0.0,0.0,0.0,0.0006,0.1003,0.0588,0.0252,0.006,0.0019,0.0,0.0,0.0,0.0,0.0073,0.1764,0.1891
1973.75,0.0,0.0,0.0,0.0,0.0,0.0006,0.1078,0.0632,0.0271,0.0064,0.0017,0.0,0.0,0.0,0.0,0.0072,0.1898,0.2056
1973.8333,0.0,0.0,0.0,0.0,0.0,0.0006,0.1156,0.0678,0.0291,0.0069,0.0016,0.0,0.0,0.0,0.0,0.0069,0.2007,0.2197
1973.9167,0.0,0.0,0.0,0.0,0.0,0.0006,0.1235,0.0725,0.0311,0.0074,0.0014,0.0,0.0,0.0,0.0,0.0065,0.211,0.2335
1974.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.1344,0.0788,0.0338,0.008,0.0012,0.0,0.0,0.0,0.0,0.0062,0.2182,0.2445
1974.0833,0.0,0.0,0.0,0.0,0.0,0.0006,0.1498,0.0879,0.0377,0.0089,0.0013,0.0,0.0,0.0,0.0,0.0064,0.2128,0.2494
1974.1667,0.0,0.0,0.0,0.0,0.0,0.0006,0.1658,0.0973,0.0417,0.0099,0.0014,0.0,0.0,0.0,0.0,0.0067,0.2052,0.2517
1974.25,0.0,0.0,0.0,0.0,0.0,0.0006,0.1823,0.1069,0.0458,0.0109,0.0014,0.0,0.0,0.0,0.0,0.0069,0.1969,0.2527
1974.3333,0.0,0.0,0.0,0.0,0.0,0.0006,0.1992,0.1168,0.0501,0.0119,0.0015,0.0,0.0,0.0,0.0,0.0071,0.1874,0.2519
1974.4167,0.0,0.0,0.0,0.0,0.0,0.0006,0.2164,0.127,0.0544,0.0129,0.0015,0.0,0.0,0.0,0.0,0.0071,0.1752,0.2469
1974.5,0.0,0.0,0.0,0.0,0.0,0.0006,0.2339,0.1371,0.0589,0.0139,0.0015,0.0,0.0,0.0,0.0,0.0072,0.1636,0.2417
1974.5833,0.0,0.0,0.0,0.0,0.0,0.0006,0.2514,0.1472,0.0636,0.0153,0.0014,0.0,0.0,0.0,0.0,0.0071,0.1508,0.2336
1974.6667,0.0,0.0,0.0,0.0,0.0,0.0006,0.2691,0.1573,0.0682,0.0165,0.0013,0.0,0.0,0.0,0.0,0.007,0.1376,0.2237
1974.75,0.0,0.0,0.0,0.0,0.0,0.0006,0.2866,0.1672,0.073,0.0179,0.0012,0.0,0.0,0.0,0.0,0.0068,0.1244,0.2124
1974.8333,0.0,0.0,0.0,0.0,0.0,0.0006,0.3036,0.1772,0.0773,0.0202,0.0011,0.0,0.0,0.0,0.0,0.0065,0.1116,0.2001
1974.9167,0.0,0.0,0.0,0.0,0.0,0.0006,0.3196,0.1868,0.0811,0.0239,0.0009,0.0,0.0,0.0,0.0,0.0061,0.099,0.1865
1975.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.3321,0.1932,0.0851,0.0291,0.0007,0.0,0.0,0.0,0.0,0.0058,0.0884,0.1751
1975.0833,0.0,0.0,0.0,0.0,0.0,0.0006,0.318,0.189,0.0775,0.0439,0.0008,0.0,0.0,0.0,0.0,0.0072,0.1013,0.1651
1975.1667,0.0,0.0,0.0,0.0,0.0,0.0006,0.3013,0.1827,0.0699,0.063,0.0009,0.0,0.0,0.0,0.0,0.0087,0.1147,0.1544
1975.25,0.0,0.0,0.0,0.0,0.0,0.0006,0.2831,0.175,0.0623,0.0851,0.001,0.0,0.0,0.0,0.0,0.0104,0.1282,0.1426
1975.3333,0.0,0.0,0.0,0.0,0.0,0.0006,0.2634,0.1659,0.0549,0.1097,0.0011,0.0,0.0,0.0,0.0,0.0123,0.1418,0.1302
1975.4167,0.0,0.0,0.0,0.0,0.0,0.0006,0.2425,0.1554,0.0479,0.1364,0.0011,0.0,0.0,0.0,0.0,0.0144,0.1547,0.1169
1975.5,0.0,0.0,0.0,0.0,0.0,0.0006,0.2197,0.1431,0.041,0.1664,0.0012,0.0,0.0,0.0,0.0,0.0168,0.1681,0.104
1975.5833,0.0,0.0,0.0,0.0,0.0,0.0006,0.1961,0.1299,0.0345,0.1978,0.0012,0.0,0.0,0.0,0.0,0.0194,0.1811,0.091
1975.6667,0.0,0.0,0.0,0.0,0.0,0.0006,0.1734,0.1168,0.0285,0.2277,0.0012,0.0,0.0,0.0,0.0,0.0222,0.1936,0.0782
1975.75,0.0,0.0,0.0,0.0,0.0,0.0005,0.1504,0.1031,0.023,0.259,0.0012,0.0,0.0,0.0,0.0,0.025,0.2041,0.0652
1975.8333,0.0,0.0,0.0,0.0,0.0,0.0005,0.1276,0.0889,0.018,0.29,0.0011,0.0,0.0,0.0,0.0,0.0281,0.2147,0.0532
1975.9167,0.0,0.0,0.0,0.0,0.0,0.0005,0.1075,0.076,0.0141,0.3153,0.0011,0.0,0.0,0.0,0.0,0.0313,0.2247,0.0419
1976.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0858,0.0615,0.0104,0.3396,0.0009,0.0,0.0,0.0,0.0,0.0348,0.2349,0.0316
1976.0833,0.0,0.0,0.0,0.0,0.0,0.0007,0.0965,0.0701,0.0107,0.3167,0.0011,0.0,0.0,0.0,0.0,0.0437,0.2375,0.0293
1976.1667,0.0,0.0,0.0,0.0,0.0,0.0008,0.1083,0.0797,0.011,0.2905,0.0013,0.0,0.0,0.0,0.0,0.0537,0.2381,0.0269
1976.25,0.0,0.0,0.0,0.0,0.0,0.001,0.12,0.0896,0.011,0.2633,0.0014,0.0,0.0,0.0,0.0,0.0653,0.2386,0.0246
1976.3333,0.0,0.0,0.0,0.0,0.0,0.0012,0.1314,0.0993,0.0108,0.2363,0.0016,0.0,0.0,0.0,0.0,0.0778,0.2363,0.0222
1976.4167,0.0,0.0,0.0,0.0,0.0,0.0014,0.1421,0.1086,0.0104,0.2097,0.0016,0.0,0.0,0.0,0.0,0.0916,0.2329,0.0198
1976.5,0.0,0.0,0.0,0.0,0.0,0.0016,0.1515,0.117,0.01,0.1848,0.0017,0.0,0.0,0.0,0.0,0.1062,0.2272,0.0175
1976.5833,0.0,0.0,0.0,0.0,0.0,0.0019,0.1605,0.1255,0.009,0.1594,0.0017,0.0,0.0,0.0,0.0,0.1217,0.2201,0.0152
1976.6667,0.0,0.0,0.0,0.0,0.0,0.0021,0.1685,0.1333,0.008,0.1344,0.0017,0.0,0.0,0.0,0.0,0.1382,0.2118,0.013
1976.75,0.0,0.0,0.0,0.0,0.0,0.0024,0.1752,0.14,0.0068,0.1107,0.0017,0.0,0.0,0.0,0.0,0.1547,0.2013,0.0108
1976.8333,0.0,0.0,0.0,0.0,0.0,0.0027,0.1798,0.145,0.0057,0.0893,0.0016,0.0,0.0,0.0,0.0,0.1712,0.1895,0.0088
1976.9167,0.0,0.0,0.0,0.0,0.0,0.003,0.182,0.1481,0.0044,0.0708,0.0016,0.0,0.0,0.0,0.0,0.188,0.1768,0.0069
1977.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.1831,0.1504,0.0031,0.0532,0.0015,0.0,0.0,0.0,0.0,0.204,0.1628,0.0052
1977.0833,0.0,0.0,0.0,0.0,0.0,0.0031,0.1805,0.1486,0.0027,0.0489,0.0017,0.0,0.0,0.0,0.0,0.206,0.1882,0.0051
1977.1667,0.0,0.0,0.0,0.0,0.0,0.0029,0.1767,0.1469,0.0012,0.0453,0.0019,0.0,0.0,0.0,0.0,0.2056,0.2152,0.005
1977.25,0.0,0.0,0.0,0.0,0.0,0.0027,0.1721,0.1436,0.0007,0.0417,0.002,0.0,0.0,0.0,0.0,0.2032,0.2439,0.0048
1977.3333,0.0,0.0,0.0,0.0,0.0,0.0025,0.1666,0.1391,0.0005,0.0384,0.0021,0.0,0.0,0.0,0.0,0.1982,0.2736,0.0045
1977.4167,0.0,0.0,0.0,0.0,0.0,0.0023,0.1605,0.1341,0.0004,0.0346,0.0021,0.0,0.0,0.0,0.0,0.1912,0.304,0.0046
1977.5,0.0,0.0,0.0,0.0,0.0,0.0021,0.1536,0.1283,0.0004,0.0315,0.0021,0.0,0.0,0.0,0.0,0.1819,0.3346,0.0045
1977.5833,0.0,0.0,0.0,0.0,0.0,0.0019,0.1459,0.122,0.0003,0.0283,0.0021,0.0,0.0,0.0,0.0,0.1705,0.3641,0.0044
1977.6667,0.0,0.0,0.0,0.0,0.0,0.0017,0.1374,0.1149,0.0003,0.0251,0.002,0.0,0.0,0.0,0.0,0.1577,0.3929,0.0043
1977.75,0.0,0.0,0.0,0.0,0.0,0.0016,0.1284,0.1074,0.0003,0.0219,0.0018,0.0,0.0,0.0,0.0,0.1438,0.4204,0.0041
1977.8333,0.0,0.0,0.0,0.0,0.0,0.0014,0.1188,0.0993,0.0002,0.0192,0.0017,0.0,0.0,0.0,0.0,0.129,0.4453,0.0039
1977.9167,0.0,0.0,0.0,0.0,0.0,0.0013,0.1092,0.0913,0.0002,0.0164,0.0015,0.0,0.0,0.0,0.0,0.1138,0.468,0.0036
1978.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0993,0.083,0.0002,0.014,0.0014,0.0,0.0,0.0,0.0,0.0985,0.487,0.0034
1978.0833,0.0,0.0,0.0,0.0,0.0,0.0009,0.1067,0.0892,0.0002,0.014,0.0014,0.0,0.0,0.0,0.0,0.0918,0.4411,0.0033
1978.1667,0.0,0.0,0.0,0.0,0.0,0.0008,0.1144,0.0957,0.0002,0.0138,0.0015,0.0,0.0,0.0,0.0,0.0842,0.3928,0.0032
1978.25,0.0,0.0,0.0,0.0,0.0,0.0007,0.1222,0.1023,0.0002,0.0133,0.0015,0.0,0.0,0.0,0.0,0.0758,0.3424,0.003
1978.3333,0.0,0.0,0.0,0.0,0.0,0.0006,0.1306,0.1093,0.0002,0.0122,0.0015,0.0,0.0,0.0,0.0,0.0668,0.2923,0.0028
1978.4167,0.0,0.0,0.0,0.0,0.0,0.0005,0.1394,0.1166,0.0002,0.0106,0.0015,0.0,0.0,0.0,0.0,0.0577,0.2443,0.0026
1978.5,0.0,0.0,0.0,0.0,0.0,0.0004,0.1481,0.1239,0.0002,0.0091,0.0015,0.0,0.0,0.0,0.0,0.0487,0.1989,0.0023
1978.5833,0.0,0.0,0.0,0.0,0.0,0.0003,0.1568,0.1312,0.0001,0.0079,0.0014,0.0,0.0,0.0,0.0,0.0392,0.1547,0.0019
1978.6667,0.0,0.0,0.0,0.0,0.0,0.0002,0.1651,0.1382,0.0001,0.0069,0.0013,0.0,0.0,0.0,0.0,0.0299,0.1141,0.0015
1978.75,0.0,0.0,0.0,0.0,0.0,0.0001,0.1733,0.1451,0.0001,0.0061,0.0012,0.0,0.0,0.0,0.0,0.0217,0.0798,0.0012
1978.8333,0.0,0.0,0.0,0.0,0.0,0.0001,0.1818,0.1523,0.0001,0.0053,0.0011,0.0,0.0,0.0,0.0,0.0138,0.0488,0.0008
1978.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.2237,0.1874,0.0001,0.0053,0.001,0.0,0.0,0.0,0.0,0.0092,0.0313,0.0005
1979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2971,0.2489,0.0001,0.0054,0.001,0.0,0.0,0.0,0.0,0.0066,0.0219,0.0004
1979.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.3085,0.2585,0.0001,0.0056,0.001,0.0,0.0,0.0,0.0,0.0061,0.0191,0.0004
1979.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.2539,0.0001,0.0057,0.001,0.0,0.0,0.0,0.0,0.0059,0.0181,0.0004
1979.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2975,0.2493,0.0,0.0058,0.001,0.0,0.0,0.0,0.0,0.0058,0.0168,0.0004
1979.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.2918,0.2445,0.0,0.0059,0.001,0.0,0.0,0.0,0.0,0.0054,0.0151,0.0004
1979.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.2861,0.2398,0.0,0.0059,0.001,0.0,0.0,0.0,0.0,0.0048,0.0129,0.0004
1979.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2803,0.2349,0.0,0.0059,0.001,0.0,0.0,0.0,0.0,0.004,0.0102,0.0003
1979.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.2745,0.2301,0.0,0.0059,0.001,0.0,0.0,0.0,0.0,0.003,0.0073,0.0002
1979.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.2687,0.2252,0.0,0.006,0.001,0.0,0.0,0.0,0.0,0.0023,0.0053,0.0002
1979.75,0.0,0.0,0.0,0.0,0.0,0.0,0.2628,0.2202,0.0,0.006,0.001,0.0,0.0,0.0,0.0,0.0019,0.0041,0.0002
1979.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.2569,0.2152,0.0001,0.006,0.001,0.0,0.0,0.0,0.0,0.0016,0.0034,0.0001
1979.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.2104,0.0001,0.0059,0.001,0.0,0.0,0.0,0.0,0.0014,0.0029,0.0001
1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2433,0.2038,0.0001,0.0058,0.001,0.0,0.0,0.0,0.0,0.0012,0.0024,0.0001
1980.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.2208,0.185,0.0001,0.0067,0.0012,0.0,0.0,0.0,0.0,0.0016,0.0029,0.0001
1980.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.1986,0.1663,0.0001,0.0073,0.0013,0.0,0.0,0.0,0.0,0.0019,0.0034,0.0002
1980.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1768,0.148,0.0001,0.0077,0.0015,0.0,0.0,0.0,0.0,0.0023,0.0038,0.0002
1980.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.1557,0.1303,0.0002,0.0078,0.0016,0.0,0.0,0.0,0.0,0.0027,0.0043,0.0002
1980.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.1354,0.1133,0.0002,0.0077,0.0017,0.0,0.0,0.0,0.0,0.0031,0.0046,0.0003
1980.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1159,0.0969,0.0002,0.0074,0.0017,0.0,0.0,0.0,0.0,0.0034,0.0049,0.0003
1980.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0975,0.0815,0.0002,0.0068,0.0016,0.0,0.0,0.0,0.0,0.0036,0.0049,0.0003
1980.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0803,0.067,0.0002,0.0061,0.0015,0.0,0.0,0.0,0.0,0.0037,0.0048,0.0003
1980.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0644,0.0537,0.0002,0.0053,0.0013,0.0,0.0,0.0,0.0,0.0037,0.0045,0.0003
1980.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0499,0.0416,0.0002,0.0044,0.0011,0.0,0.0,0.0,0.0,0.0035,0.0041,0.0003
1980.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0369,0.0308,0.0002,0.0034,0.0009,0.0,0.0,0.0,0.0,0.0033,0.0037,0.0003
1981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255,0.0212,0.0001,0.0025,0.0007,0.0,0.0,0.0,0.0,0.0029,0.0031,0.0003
1981.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0258,0.0215,0.0001,0.0026,0.0007,0.0,0.0,0.0,0.0,0.0034,0.0035,0.0003
1981.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0262,0.0218,0.0001,0.0028,0.0008,0.0,0.0,0.0,0.0,0.0039,0.0038,0.0003
1981.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.0222,0.0001,0.0029,0.0008,0.0,0.0,0.0,0.0,0.0043,0.004,0.0004
1981.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0271,0.0225,0.0002,0.003,0.0008,0.0,0.0,0.0,0.0,0.0047,0.0042,0.0004
1981.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.023,0.0002,0.0031,0.0009,0.0,0.0,0.0,0.0,0.005,0.0042,0.0004
1981.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0282,0.0234,0.0002,0.0032,0.0009,0.0,0.0,0.0,0.0,0.0053,0.0042,0.0004
1981.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0287,0.0239,0.0002,0.0033,0.0009,0.0,0.0,0.0,0.0,0.0054,0.0041,0.0004
1981.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0293,0.0244,0.0002,0.0033,0.0009,0.0,0.0,0.0,0.0,0.0053,0.0039,0.0004
1981.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0298,0.0248,0.0002,0.0033,0.0009,0.0,0.0,0.0,0.0,0.0051,0.0035,0.0004
1981.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.0252,0.0002,0.0033,0.0009,0.0,0.0,0.0,0.0,0.0047,0.0031,0.0004
1981.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.0256,0.0002,0.0033,0.0009,0.0,0.0,0.0,0.0,0.0042,0.0027,0.0003
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315,0.0262,0.0002,0.0033,0.0009,0.0,0.0,0.0,0.0,0.0037,0.0022,0.0003
1982.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0412,0.0343,0.0002,0.0041,0.0011,0.0,0.0,0.0,0.0,0.0042,0.0024,0.0003
1982.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0524,0.0437,0.0003,0.005,0.0013,0.0,0.0,0.0,0.0,0.0047,0.0026,0.0003
1982.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0651,0.0542,0.0003,0.0058,0.0015,0.0,0.0,0.0,0.0,0.0051,0.0027,0.0004
1982.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0792,0.0661,0.0003,0.0066,0.0017,0.0,0.0,0.0,0.0,0.0054,0.0027,0.0004
1982.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0948,0.0792,0.0003,0.0073,0.0018,0.0,0.0,0.0,0.0,0.0056,0.0027,0.0004
1982.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1119,0.0935,0.0003,0.0078,0.0018,0.0,0.0,0.0,0.0,0.0057,0.0026,0.0004
1982.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.1303,0.1089,0.0003,0.0082,0.0018,0.0,0.0,0.0,0.0,0.0056,0.0024,0.0003
1982.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1255,0.0002,0.0082,0.0017,0.0,0.0,0.0,0.0,0.0054,0.0022,0.0003
1982.75,0.0,0.0,0.0,0.0,0.0,0.0,0.1709,0.1431,0.0002,0.0079,0.0016,0.0,0.0,0.0,0.0,0.005,0.0019,0.0003
1982.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.1929,0.1615,0.0001,0.0073,0.0014,0.0,0.0,0.0,0.0,0.0045,0.0016,0.0002
1982.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.2159,0.1809,0.0001,0.0062,0.0012,0.0,0.0,0.0,0.0,0.0042,0.0014,0.0002
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2428,0.2035,0.0001,0.0048,0.0009,0.0,0.0,0.0,0.0,0.0042,0.0013,0.0002
1983.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.2492,0.2088,0.0001,0.0049,0.0009,0.0,0.0,0.0,0.0,0.0056,0.0017,0.0003
1983.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.2557,0.2143,0.0001,0.0049,0.001,0.0,0.0,0.0,0.0,0.0069,0.002,0.0003
